Glottocode	Doculect
ayor1240	AYOREO_2
ayuu1242	AYU
azoy1236	AZOYU_TLAPANEC
baan1241	BAN_OGOI
baat1238	BAATONUM
baba1263	BABANGO
baba1264	BABA
baba1266	BABANKI
baba1268	SISIQA
babu1240	FAVORLANG
baca1243	BACANESE_MALAY
baca1246	BACAMA
bada1257	BADAGA
bada1258	BADA
bada1261	BADA_INDONESIA
bade1248	BADE
badi1247	TOMER
bady1239	PAJADE
baeg1237	MBAENGGUU
bael1237	MBAELELEA
baet1237	BAETORA
bafa1247	BAFAW
bafi1243	BAFIA
bafu1246	BAFUT
baga1270	BAGA_MADURI
baga1272	BAGA_SITEMU_4
baga1275	BAGA_MBOTENI
bagi1246	BAGIRMI
bago1245	BAGO_KUSUNTU
bagr1243	BAGRI
bagu1252	BAGUPI
bagv1239	BAGWALAL
baha1256	PAHA
baha1258	MBAHAM
bahi1252	BAHING
bahi1254	BAHINEMO_2
bahn1262	BAHNAR_2
baii1251	BAI_2
baik1238	BAIKENO
baim1244	WUJIAO_BAIMA
baim1245	BAIMAK
bain1259	BAINOUNK_GUJAHER
bain1261	BAYNUNK_GUNYAAMOLO_4
bais1246	BAISO_3
baka1272	BAKA_3
baka1273	BAKAKA
baka1274	BAKA_SUDAN
baka1277	BAKAIRI
bakh1245	BAKHTIARI
baki1244	BAKI
bako1250	BAKOLE
bakp1238	BAKPINKA
bakw1243	BAKWE
bala1301	BALANTA
bala1302	BALANTA_FCA_3
bala1310	BALANGAW
bala1311	BALANGINGI_SAMA
bala1314	BALAESANG
bali1245	BALI_NIGERIA
bali1278	BALI
balk1252	CRIMEAN_ROMANI
balo1261	ZAMBA
balo1264	BALO
balt1257	LATVIAN_ROMANI
balt1258	WESTERN_BALTI
balu1257	BALUAN_PAM
bamb1262	NORTHERN_MAO
bamb1266	BAMBILI
bamb1269	BAMBARA_4
bamb1270	TAORA
bame1260	BAMENYAM
bamu1253	SHUPAMEM
bamu1257	BAMU
bamw1238	BAMWE_2
bana1292	BANARO
bana1305	BANA
band1340	BANDIAL
band1342	SABANGA
band1343	GBAMBIYA
band1344	LINDA_3
band1345	TANGBAGO
band1348	BANDA_YANGERE
band1352	BANDI
band1353	AI_BANDA
band1355	ELAT_KEI_BESAR
bang1345	BANGBA_3
bang1347	BANGANDU
bang1350	BANGUBANGU
bang1353	BANGALA
bang1354	BOBANGI
bang1363	BANGI_ME
bang1365	LOM
bang1368	BANGGAI
bani1255	BANIWA
banj1239	BANJARESE_MALAY
bank1256	BANKON
bank1258	BANKAGOMA
bank1259	BANKAN_TEY
bann1247	BANONI
bant1281	BANTAWA
bant1286	BANTIK
baou1238	BAULE_2
bara1362	VARAMA
bara1369	MALAGASY_BARA
bara1380	BARASANO
barb1263	CHUMASH_BARBARENO
bard1255	BARDI
bare1276	BARE
barg1252	MUGIL
bari1284	NYANGGWARA
bari1286	BARIAI
bari1297	BARI_COLUMBIA
bari1298	OMATI
baro1252	BAROMBI
baro1253	BAROK
baru1267	BARUYA
baru1269	TAFOTA_BARUGA
basa1284	BASAA_2
bash1264	BASHKIR
bask1236	BASKETO
basq1248	BASQUE
bass1258	BASARI
bass1260	MIENGE
bata1285	BATANGA
bata1289	TOBA_BATAK
bata1292	BATA_ALAS_KLUET
bata1293	KARO_BATAK
bata1298	IFUGAO_BATAD
bata1301	BATAK_PALAWAN
bate1262	BATEK_DEQ
bats1242	BATS
batu1255	KAMINO
batu1258	BATULEY
baub1235	SINGHI
bauc1238	MADAKA
baur1252	BAURO
baur1253	BAURE
bauu1244	BAU
bauw1240	BAUWAKI
bauz1241	BAUZI_2
bawm1236	BAWM
bayo1255	BAYOT_3
bayo1260	BAYONO
beam1240	BEAMI
beav1236	BEAVER
beba1238	BEBA
bedi1235	BEDIK
bedo1237	YARIK
beem1239	BEEMBE
beez1238	BEEZEN
befa1241	MODELE
begb1241	BEGBERE_EJAR
beja1238	BEJA_2
beka1241	BEKATI
bekw1241	BEKWARRA
bekw1242	BEKWIL
bela1254	BELARUSIAN
bela1255	BELANDA_VIRI
bela1260	BELAIT
bell1243	BELLA_COOLA
bemb1257	M40TEMBA
bena1262	BENA_2
bena1264	BENABENA_2
benc1235	BENCHO
bend1258	BENDE
beng1280	BENGALI
beng1282	BENGA_2
beng1286	BENG
bent1238	BEN_TEY_DOGON
beot1247	BEOTHUK
bepo1240	BEPOUR
bera1259	BIRA
beri1254	BERIK_3
bero1242	TAHOSS
bert1248	BERTA
bert1249	BERTI
besi1244	MAH_MERI
besm1235	BESME
beta1253	BETAF
beti1248	EOTILE_BETI
bett1235	BETTA_KURUMBA_2
bezh1248	BEZHTA
biaf1240	BIAFADA
biak1248	BIAK
bian1252	BIANGAI
biao1253	SHIDONG_BIAO
